TN40;TN40;TN40;TN40;TN40;TN40;TN40;TN40;TN40;TN40;TN40;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48;TN48
CSDEP;CSDIR;CTCN;CTCNIA;NCCO;TYCNGR;CTCNGR;COARCL;CTADR0;NIAF;NIAFBT;VBETF2;MBBS;MOETRC;MOETRA;FILLER;MOTPCR;BN10A;MOCND1;MOCUD1;MODPD1;MOCND2;MOCUD2;MODPD2;MNTPNU;MOCNE1;MOCUE1;MODPE1;MOCNFP;BN10AA;MOCNF1;MOCUF1;MODPF1;MOCNF2;MOCUF2;MODPF2;BN10AB;MOCNTE;MOCUTE;MNTPSI;MOCNH1;MOCUH1;MODPH1;FILLER;BN10AC;MOCNG2;MOCUG2;MODPG2;MNTPOE;MOCNOE;MORGOE;BN10AE;VBETFR;FILLER;BX001A
Code departement;Numero de direction sur 1c;CODE COMMUNE DE L'AFT;ancien code cne en presence d ifp;numero de compte fichier coll CFE;type EPCI;code EPCI;type article sur 2 caracteres;code voie du lieu d'imposition;NUMERO IMMEUBLE DE L'AFT;indice repetition b/t/q cfe type 1;total vl fonc. loc. U rev. brute;base brute cfe annee n;montant rce n calcule;montant reduction artisans;;montant total des credits impots;ZONE BANALISEE 10 CAR NUM EDITION Z9;part communale IFER eolienne (1519D)                9(8)V99;part epci IFER eolienne (1519D)                     9(8)V99;part departement IFER eolienne 1519D                9(8)V99;part communale IFER hydrolienne                     9(8)V99;part epci IFER hydrolienne                          9(8)V99;part departement IFER hydrolienne                   9(8)V99;montant IFER 1519E HFG;part communale IFER 1519E                           9(8)V99;part epci IFER 1519E                                9(8)V99;part departement IFER 1519E                         9(8)V99;part fonds de compensation 1519E                    9(8)V99;ZONE BANALISEE 10 CAR NUM EDITION Z9;part communale IFER photovoltaique                  9(8)V99;part epci IFER photovoltaique                       9(8)V99;part departement IFER photovoltaique                9(8)V99;part communale IFER hydraulique                     9(8)V99;part epci IFER hydraulique                          9(8)V99;part departement IFER hydraulique                   9(8)V99;ZONE BANALISEE 10 CAR NUM EDITION Z9;part communale IFER 1519G                           9(8)V99;part epci IFER 1519G                                9(8)V99;total montant stations radio;part communale IFER 1519H                           9(8)V99;part epci IFER 1519H                                9(8)V99;part departement IFER 1519H                         9(8)V99;;ZONE BANALISEE 10 CAR NUM EDITION Z9;part communale IFER stockage gaz                    9(8)V99;part epci IFER stockage gaz                         9(8)V99;part departement IFER stockage gaz                  9(8)V99;mt IFER geothermie HFG;part cne IFER geothermie (1519HB)                   9(8)V99;part region IFER geothermie (1519HB)                9(8)V99;ZONE BANALISEE 10 CAR NUM EDITION Z9;total vl fonciere revisee n;;ZONE BANALISEE 1 CARACTERE X
1;3;4;7;10;16;17;20;22;26;30;31;42;53;64;75;159;169;179;189;199;209;219;229;239;249;259;269;279;289;299;309;319;329;339;349;359;369;379;389;399;409;419;429;449;459;469;479;489;499;509;519;529;540;1
2;3;6;9;15;16;19;21;25;29;30;41;52;63;74;158;168;178;188;198;208;218;228;238;248;258;268;278;288;298;308;318;328;338;348;358;368;378;388;398;408;418;428;448;458;468;478;488;498;508;518;528;539;949;0
2;1;3;3;6;1;3;2;4;4;1;11;11;11;11;84;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;20;10;10;10;10;10;10;10;10;11;410;1
X;X;X;X;9;X;9;X;X;X;X;9;9;9;9;X;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;X;9;9;9;9;9;9;9;9;9;X;X
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;0;120;   ;0;L;500;A7;    ;    ; ;10413;10413;0;0;                                                                                    ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;                    ;0;0;0;0;0;0;0;0;10413;                                                                                                                                                                                                                                                                                                                                                                                                                          ;1
16;0;090;   ;0;L;600;A7;    ;    ; ;11362;11362;0;0;                                                                                    ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;                    ;0;0;0;0;0;0;0;0;11362;                                                                                                                                                                                                                                                                                                                                                                                                                          ;1
16;0;150;   ;0;L;600;A7;    ;    ; ;100150;100150;0;0;                                                                                    ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;                    ;0;0;0;0;0;0;0;0;32455;                                                                                                                                                                                                                                                                                                                                                                                                                          ;1
16;0;359;   ;0;L;600;A7;    ;    ; ;64211;64211;0;0;                                                                                    ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;                    ;0;0;0;0;0;0;0;0;31335;                                                                                                                                                                                                                                                                                                                                                                                                                          ;1
16;0;366;   ;0;L;600;A7;    ;    ; ;7504;7504;0;0;                                                                                    ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;                    ;0;0;0;0;0;0;0;0;7504;                                                                                                                                                                                                                                                                                                                                                                                                                          ;1
16;0;137;   ;0;V;223;A7;    ;    ; ;1651;1651;0;452;                                                                                    ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;                    ;0;0;0;0;0;0;0;0;1651;                                                                                                                                                                                                                                                                                                                                                                                                                          ;1
16;0;211;   ;0;V;223;A7;    ;    ; ;670;670;0;0;                                                                                    ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;                    ;0;0;0;0;0;0;0;0;670;                                                                                                                                                                                                                                                                                                                                                                                                                          ;1
16;0;005;411;0;V;383;A7;    ;    ; ;132276;132276;0;2267;                                                                                    ;0;0;0;0;0;0;0;0;0;0;0;0;0;876;438;0;438;0;0;0;0;0;0;0;0;0;0;                    ;0;0;0;0;0;0;0;0;33210;                                                                                                                                                                                                                                                                                                                                                                                                                          ;1
16;0;095;   ;0;V;383;A7;    ;    ; ;4634;4634;276;0;                                                                                    ;0;0;0;0;0;0;0;0;0;0;0;0;0;1392;696;0;696;0;0;0;0;0;0;0;0;0;0;                    ;0;0;0;0;0;0;0;0;3643;                                                                                                                                                                                                                                                                                                                                                                                                                          ;1
16;0;383;   ;0;V;383;A7;    ;    ; ;78487;78487;0;0;                                                                                    ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;                    ;0;0;0;0;0;0;0;0;35238;                                                                                                                                                                                                                                                                                                                                                                                                                          ;1
16;0;393;   ;0;V;383;A7;    ;    ; ;704588;704588;0;0;                                                                                    ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;                    ;0;0;0;0;0;0;0;0;36247;                                                                                                                                                                                                                                                                                                                                                                                                                          ;1
16;0;414;   ;0;V;383;A7;    ;    ; ;7829;7829;0;0;                                                                                    ;0;0;0;0;0;0;0;0;0;0;0;0;0;5372;2686;0;2686;0;0;0;0;0;0;0;0;0;0;                    ;0;0;0;0;0;0;0;0;7829;                                                                                                                                                                                                                                                                                                                                                                                                                          ;1
16;0;065;   ;0;V;601;A7;    ;    ; ;5117;5117;0;0;                                                                                    ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;                    ;0;0;0;0;0;0;0;0;5117;                                                                                                                                                                                                                                                                                                                                                                                                                          ;1
16;0;070;   ;0;V;601;A7;    ;    ; ;2273;2273;0;0;                                                                                    ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;                    ;0;0;0;0;0;0;0;0;2273;                                                                                                                                                                                                                                                                                                                                                                                                                          ;1
16;0;076;   ;0;V;601;A7;    ;    ; ;156392;156392;0;0;                                                                                    ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;                    ;0;0;0;0;0;0;0;0;7005;                                                                                                                                                                                                                                                                                                                                                                                                                          ;1
